id,project_id,project_q,sort_order,title,person_q,class_q,first_name,last_name,role,role_wiki,start_date,end_date,website_urls
81,25,Q130247048,1,Elvira Meierhans-Sax,Q130252553,Q5,Elvira,Meierhans-Sax,Konzept und Organisation,P767,,,"
"
82,25,Q130247048,2,Marianne Schwerzmann,Q130252555,Q5,Marianne,Schwerzmann,,P767,,,"
"
83,25,Q130247048,3,Alex Schweiger,Q130252556,Q5,Alex,Schweiger,,P767,,,"
"
84,26,Q130247049,1,Luciano Fasciati,Q130252557,Q5,Luciano,Fasciati,(Künstlerische Leitung),P767,,,"
"
85,26,Q130247049,2,Marlene Fasciati,Q130252558,Q5,Marlene,Fasciati,(Vorstandspräsidentin),P767,,,"
"
86,26,Q130247049,3,Linus Berther,Q130252559,Q5,Linus,Berther,(Vorstandsmitglied),P767,,,"
"
87,26,Q130247049,4,Anja Conzett,Q113290164,Mensch,Anja,Conzett,(Vorstandsmitglied),P767,,,"
"
88,26,Q130247049,5,Davide Fogliada,Q130252560,Q5,Davide,Fogliada,(Vorstandsmitglied),P767,,,"
"
89,26,Q130247049,6,Silvia Hofmann,Q130252561,Q5,Silvia,Hofmann,(Vorstandsmitglied),P767,,,"
"
90,26,Q130247049,7,Céline Gaillard,Q130252562,Q5,Céline,Gaillard,"(von 2010 bis 2013 Assistenz, 2013-2018 Kuratorin)",P767,2013,2018,"
"
91,26,Q130247049,8,Claudia Klammer,Q130252564,Q5,Claudia,Klammer,"(2016, Assistenz)",P767,2016,2016,"
"
92,27,Q130247051,1,Margit Bartl-Frank,Q130252565,Q5,Margit,Bartl-Frank,Initiantin und Organisation,P767,,,"
"
93,28,Q130247052,1,Vesna Tomse,Q130252566,Q5,Vesna,Tomse,,P767,,,"
"
94,29,Q130247053,1,Nico Lazúla,Q130252567,Q5,Nico,Lazúla,"Mitbetreiberin seit 2007, Co-Kuratorin bei externen Projekten z.B.""Exposition XL"", Auswahlkommission",P767,2007,,"
"
95,29,Q130247053,2,Ruedi Staub,Q115556716,Mensch,Ruedi,Staub,seit Beginn Kurator / Organisator / Auswahlkommission,P767,,,"
"
96,29,Q130247053,3,Ute Göbbels,Q130252568,Q5,Ute,Göbbels,"Präsidentin Verein, und langjährige Mitarbeiterin «station 21»",P767,,,"
"
97,30,Q130247055,1,Gianin Conrad,Q55235884,Mensch,Gianin,Conrad,"Initiant, bildender Künstler",P767,,,"
"
98,30,Q130247055,2,Quirina Lechmann,Q130252569,Q5,Quirina,Lechmann,"Initiant, Sopranistin",P767,,,"
"
99,30,Q130247055,3,Julian Grünthal,Q130252570,Q5,Julian,Grünthal,Filmschaffender und Regisseur,P767,,,"
"
100,30,Q130247055,4,Duri Collenberg,Q65035024,Mensch,Duri,Collenberg,Pianist und Komponist,P767,,,"
"
101,31,Q130247057,1,Evelyne Temperli,Q130251844,Q5,Evelyne,Temperli,"Gründerin, Kuratorin, 2009 - 2011",P112,2009,2011,"
"
102,31,Q130247057,2,Anna-Sabina Zürrer,Q85104781,Mensch,Anna-Sabina,Zürrer,"Gründerin, Kuratorin, Pressearbeit, 2009 - 2011",P112,2009,2011,"
"
103,31,Q130247057,3,Daniela Schuler,Q130252571,Q5,Daniela,Schuler,"Kuratorin, 2012 - 2013",P767,2012,2013,"
"
104,31,Q130247057,4,Sandra Bucheli,Q130252572,Q5,Sandra,Bucheli,"Kuratorin, 2012 - 2013",P767,2012,2013,"
"
